year,school,jae_cluster,code,course,planned_intake_num
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,322
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,72
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,120
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,60
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,52
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,115
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,52
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,144
2016,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,50
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,48
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,60
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,100
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,60
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,55
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,45
2016,SCHOOL OF DESIGN,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,73
2016,SCHOOL OF DESIGN,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,73
2016,SCHOOL OF DESIGN,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,50
2016,SCHOOL OF ENGINEERING,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,314
2016,SCHOOL OF ENGINEERING,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,64
2016,SCHOOL OF ENGINEERING,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2016,SCHOOL OF ENGINEERING,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,200
2016,SCHOOL OF ENGINEERING,ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,96
2016,SCHOOL OF ENGINEERING,ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,202
2016,SCHOOL OF ENGINEERING,ENGINEERING,C89,"DIPLOMA IN ""ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING""",140
2016,SCHOOL OF ENGINEERING,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,88
2016,SCHOOL OF ENGINEERING,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,96
2016,SCHOOL OF ENGINEERING,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2016,SCHOOL OF ENGINEERING,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,44
2016,SCHOOL OF ENGINEERING,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,42
2016,SCHOOL OF ENGINEERING,ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,20
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,733
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE & THERAPY,25
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,75
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,42
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,75
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,42
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,90
2016,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,78
2016,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,60
2016,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C78,DIPLOMA IN BUSINESS INFORMATICS,90
2016,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN ENGINEERING INFORMATICS,116
2016,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,40
2016,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,118
2016,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,60
2016,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,40
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,127
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,50
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,152
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,45
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,66
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,334
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,56
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,66
2017,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,122
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,42
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,40
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,60
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,48
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,58
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,57
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,96
2017,SCHOOL OF DESIGN,BUILT ENVIRONMENT,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,60
2017,SCHOOL OF DESIGN,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,80
2017,SCHOOL OF DESIGN,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,80
2017,SCHOOL OF DESIGN,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,55
2017,SCHOOL OF ENGINEERING,ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,22
2017,SCHOOL OF ENGINEERING,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,44
2017,SCHOOL OF ENGINEERING,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,44
2017,SCHOOL OF ENGINEERING,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2017,SCHOOL OF ENGINEERING,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,88
2017,SCHOOL OF ENGINEERING,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,66
2017,SCHOOL OF ENGINEERING,ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,100
2017,SCHOOL OF ENGINEERING,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,210
2017,SCHOOL OF ENGINEERING,ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,88
2017,SCHOOL OF ENGINEERING,ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,200
2017,SCHOOL OF ENGINEERING,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,305
2017,SCHOOL OF ENGINEERING,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,88
2017,SCHOOL OF ENGINEERING,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,25
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,780
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,45
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,80
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,82
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,72
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,92
2017,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,54
2017,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C78,DIPLOMA IN BUSINESS INFORMATICS,104
2017,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,60
2017,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,40
2017,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,60
2017,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,40
2017,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN INFOCOMM AND SECURITY,122
2017,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,132
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,112
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,57
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,78
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,390
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,79
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,59
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,112
2018,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,112
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,60
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,43
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,50
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,99
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,90
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,42
2018,SCHOOL OF DESIGN,BUILT ENVIRONMENT,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,66
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,52
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,85
2018,SCHOOL OF DESIGN,MEDIA & DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,74
2018,SCHOOL OF ENGINEERING,ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,92
2018,SCHOOL OF ENGINEERING,ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,312
2018,SCHOOL OF ENGINEERING,ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,156
2018,SCHOOL OF ENGINEERING,ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,90
2018,SCHOOL OF ENGINEERING,ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,91
2018,SCHOOL OF ENGINEERING,ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,70
2018,SCHOOL OF ENGINEERING,ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,47
2018,SCHOOL OF ENGINEERING,ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,48
2018,SCHOOL OF ENGINEERING,ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,45
2018,SCHOOL OF ENGINEERING,ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,199
2018,SCHOOL OF ENGINEERING,ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,66
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),75
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C97,DIPLOMA IN NURSING,821
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,HEALTH SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,25
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,87
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,INFORMATION & DIGITAL TECHNOLOGIES,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,45
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,86
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C59,DIPLOMA IN INTERACTION DESIGN,70
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,50
2018,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,MEDIA & DESIGN,C61,DIPLOMA IN ANIMATION,90
2018,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C78,DIPLOMA IN BUSINESS INFORMATICS,100
2018,SCHOOL OF INFORMATION TECHNOLOGY,BUSINESS & MANAGEMENT,C58,DIPLOMA IN FINANCIAL INFORMATICS,65
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,42
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,88
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C80,DIPLOMA IN INFOCOMM AND SECURITY,112
2018,SCHOOL OF INFORMATION TECHNOLOGY,INFORMATION & DIGITAL TECHNOLOGIES,C85,DIPLOMA IN INFORMATION TECHNOLOGY,146
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C34,COMMON BUSINESS PROGRAMME,251
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,251
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C99,DIPLOMA IN MARKETING,50
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,56
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,53
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,71
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,70
2019,SCHOOL OF BUSINESS MANAGEMENT,BUSINESS & MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,72
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,APPLIED SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,121
