year,school,code,course,total_intake
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,79
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,55
2016,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,210
2016,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,96
2016,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,88
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,107
2016,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN ENGINEERING INFORMATICS,106
2016,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,65
2016,SCHOOL OF DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,77
2016,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,317
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),72
2016,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,90
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,40
2016,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,66
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C61,DIPLOMA IN ANIMATION,93
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,42
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,46
2016,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,62
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,748
2016,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,45
2016,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,89
2016,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,59
2016,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,68
2016,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,21
2016,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,321
2016,SCHOOL OF ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,75
2016,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,120
2016,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,36
2016,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN DENTAL HYGIENE & THERAPY,20
2016,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,46
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,59
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,61
2016,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,55
2016,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,114
2016,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,43
2016,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,61
2016,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,127
2016,SCHOOL OF BUSINESS MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,52
2016,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,40
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,64
2016,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,44
2016,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,43
2016,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,37
2016,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,48
2016,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,208
2016,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,143
2016,SCHOOL OF ENGINEERING,C89,"DIPLOMA IN ""ELECTRONICS, COMPUTER & COMMUNICATIONS ENGINEERING""",143
2017,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,66
2017,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,55
2017,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,44
2017,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,60
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,58
2017,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,91
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,780
2017,SCHOOL OF ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,96
2017,SCHOOL OF DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,79
2017,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,54
2017,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,37
2017,SCHOOL OF BUSINESS MANAGEMENT,C56,DIPLOMA IN FUND MANAGEMENT & ADMINISTRATION,46
2017,SCHOOL OF ENGINEERING,C40,AEROSPACE / MECHATRONICS PROGRAMME,205
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,50
2017,SCHOOL OF INFORMATION TECHNOLOGY,C68,DIPLOMA IN BUSINESS ENTERPRISE IT,40
2017,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,88
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,82
2017,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,332
2017,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,81
2017,SCHOOL OF ENGINEERING,C53,DIPLOMA IN TELEMATICS & MEDIA TECHNOLOGY,21
2017,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,60
2017,SCHOOL OF DESIGN,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,56
2017,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,53
2017,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,130
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,44
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,28
2017,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,63
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,81
2017,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,152
2017,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),80
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,74
2017,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,45
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,48
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,95
2017,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,201
2017,SCHOOL OF ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,62
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,56
2017,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,89
2017,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,318
2017,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,65
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,39
2017,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,121
2017,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,43
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C61,DIPLOMA IN ANIMATION,90
2017,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,43
2017,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,126
2017,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN INFOCOMM AND SECURITY,127
2017,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,60
2017,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,106
2018,SCHOOL OF ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,91
2018,SCHOOL OF ENGINEERING,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,43
2018,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,58
2018,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,48
2018,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,86
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,60
2018,SCHOOL OF DESIGN,C83,DIPLOMA IN INDUSTRIAL DESIGN,51
2018,SCHOOL OF BUSINESS MANAGEMENT,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,78
2018,SCHOOL OF INFORMATION TECHNOLOGY,C54,DIPLOMA IN CYBER SECURITY & FORENSICS,88
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C59,DIPLOMA IN INTERACTION DESIGN,71
2018,SCHOOL OF ENGINEERING,C40,AEROSPACE/MECHATRONICS PROGRAMME,155
2018,SCHOOL OF ENGINEERING,C75,DIPLOMA IN MULTIMEDIA & INFOCOMM TECHNOLOGY,211
2018,SCHOOL OF INFORMATION TECHNOLOGY,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,42
2018,SCHOOL OF BUSINESS MANAGEMENT,C99,DIPLOMA IN MARKETING,76
2018,SCHOOL OF BUSINESS MANAGEMENT,C94,DIPLOMA IN BUSINESS MANAGEMENT,396
2018,SCHOOL OF BUSINESS MANAGEMENT,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,110
2018,SCHOOL OF ENGINEERING,C89,DIPLOMA IN ELECTRONIC SYSTEMS,89
2018,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,310
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,C72,DIPLOMA IN ORAL HEALTH THERAPY,22
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C65,DIPLOMA IN PHARMACEUTICAL SCIENCES,92
2018,SCHOOL OF ENGINEERING,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,50
2018,SCHOOL OF BUSINESS MANAGEMENT,C96,DIPLOMA IN BANKING & FINANCE,112
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C57,DIPLOMA IN DIGITAL VISUAL EFFECTS,46
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C66,DIPLOMA IN MOTION GRAPHICS & BROADCAST DESIGN,49
2018,SCHOOL OF ENGINEERING,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,47
2018,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,66
2018,SCHOOL OF INFORMATION TECHNOLOGY,C85,DIPLOMA IN INFORMATION TECHNOLOGY,147
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,DIPLOMA IN CHEMICAL & GREEN TECHNOLOGY,45
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C61,DIPLOMA IN ANIMATION,90
2018,SCHOOL OF INFORMATION TECHNOLOGY,C78,DIPLOMA IN BUSINESS INFORMATICS,102
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,43
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,83
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,C97,DIPLOMA IN NURSING,821
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,100
2018,SCHOOL OF DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,74
2018,SCHOOL OF ENGINEERING,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,89
2018,SCHOOL OF ENGINEERING,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,50
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,43
2018,SCHOOL OF BUSINESS MANAGEMENT,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,110
2018,SCHOOL OF DESIGN,C38,DIPLOMA IN SUSTAINABLE ARCHITECTURAL DESIGN,68
2018,SCHOOL OF INFORMATION TECHNOLOGY,C80,DIPLOMA IN INFOCOMM AND SECURITY,112
2018,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),72
2018,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,59
2018,SCHOOL OF INFORMATION TECHNOLOGY,C58,DIPLOMA IN FINANCIAL INFORMATICS,63
2018,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,50
2018,SCHOOL OF ENGINEERING,C48,DIPLOMA IN ELECTRICAL ENGINEERING WITH ECO-DESIGN,64
2018,SCHOOL OF INTERACTIVE AND DIGITAL MEDIA,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,88
2019,SCHOOL OF BUSINESS MANAGEMENT,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,55
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,DIPLOMA IN MEDICINAL CHEMISTRY,47
2019,SCHOOL OF DESIGN,C38,DIPLOMA IN ARCHITECTURE,60
2019,SCHOOL OF ENGINEERING,C62,DIPLOMA IN DIGITAL & PRECISION ENGINEERING,66
2019,SCHOOL OF ENGINEERING,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,46
2019,SCHOOL OF ENGINEERING,C42,COMMON ENGINEERING PROGRAMME,292
2019,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,DIPLOMA IN MOLECULAR BIOTECHNOLOGY,46
2019,SCHOOL OF BUSINESS MANAGEMENT,C34,COMMON BUSINESS PROGRAMME,251
2019,SCHOOL OF DESIGN,C63,DIPLOMA IN VISUAL COMMUNICATION,75
2019,SCHOOL OF DESIGN,C64,DIPLOMA IN SPATIAL DESIGN,68
2019,SCHOOL OF BUSINESS MANAGEMENT,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,56
